Local time,open,high,low,close,volume
19.12.2003 00:00:00.000 GMT+0200,107.623,107.99,107.519,107.808,601350.5977
22.12.2003 00:00:00.000 GMT+0200,107.657,107.939,107.276,107.536,598102.8037
23.12.2003 00:00:00.000 GMT+0200,107.514,107.593,107.231,107.415,594104.6983
24.12.2003 00:00:00.000 GMT+0200,107.429,107.558,107.101,107.237,590248.0909
25.12.2003 00:00:00.000 GMT+0200,107.266,107.391,107.062,107.225,507062.9004
26.12.2003 00:00:00.000 GMT+0200,107.212,107.518,106.881,107.442,553608.5987
29.12.2003 00:00:00.000 GMT+0200,107.338,107.378,106.836,107.007,593206.5996
30.12.2003 00:00:00.000 GMT+0200,107.005,107.147,106.86,106.98,601702.0978
31.12.2003 00:00:00.000 GMT+0200,106.984,107.72,106.755,107.225,577023.1974
01.01.2004 00:00:00.000 GMT+0200,107.211,107.479,106.972,107.446,195292.1994
02.01.2004 00:00:00.000 GMT+0200,107.437,107.495,106.72,107.05,576200.292
05.01.2004 00:00:00.000 GMT+0200,107.036,107.304,106.015,106.193,592067.8008
06.01.2004 00:00:00.000 GMT+0200,106.193,106.384,105.994,106.165,600059.3946
07.01.2004 00:00:00.000 GMT+0200,106.162,106.424,105.905,106.176,601494.0899
08.01.2004 00:00:00.000 GMT+0200,106.166,106.257,106.06,106.173,590191.0968
09.01.2004 00:00:00.000 GMT+0200,106.178,108.213,106.075,106.776,597734.9053
12.01.2004 00:00:00.000 GMT+0200,106.594,106.75,106.328,106.632,596995.5029
13.01.2004 00:00:00.000 GMT+0200,106.63,106.719,106.114,106.2,604856.3993
14.01.2004 00:00:00.000 GMT+0200,106.196,106.328,105.958,106.168,603176.8058
15.01.2004 00:00:00.000 GMT+0200,106.146,106.493,105.967,106.348,604133.4014
16.01.2004 00:00:00.000 GMT+0200,106.32,107.001,105.738,106.616,607368.8047
19.01.2004 00:00:00.000 GMT+0200,106.604,107.479,106.345,107.23,603839.3994
20.01.2004 00:00:00.000 GMT+0200,107.229,107.9,106.952,107.072,608230.1006
21.01.2004 00:00:00.000 GMT+0200,107.057,107.279,106.589,106.892,610761.8077
22.01.2004 00:00:00.000 GMT+0200,106.88,107.007,105.928,106.031,599333.4981
23.01.2004 00:00:00.000 GMT+0200,106.035,106.814,105.734,106.731,607696.8017
26.01.2004 00:00:00.000 GMT+0200,106.562,106.73,105.788,106.371,607016.9014
27.01.2004 00:00:00.000 GMT+0200,106.371,106.422,105.458,105.525,591794.5967
28.01.2004 00:00:00.000 GMT+0200,105.513,106.573,105.442,106.213,610922.4093
29.01.2004 00:00:00.000 GMT+0200,106.238,106.301,105.632,105.948,611237.4999
30.01.2004 00:00:00.000 GMT+0200,105.948,106.122,105.594,105.686,610370.9962
02.02.2004 00:00:00.000 GMT+0200,105.599,105.791,105.379,105.538,598414.5957
03.02.2004 00:00:00.000 GMT+0200,105.594,105.83,105.222,105.463,607141.4971
04.02.2004 00:00:00.000 GMT+0200,105.448,105.655,105.254,105.414,608040.7881
05.02.2004 00:00:00.000 GMT+0200,105.419,106.044,105.364,105.791,603472.5907
06.02.2004 00:00:00.000 GMT+0200,105.793,106.794,105.366,105.455,608752.0966
09.02.2004 00:00:00.000 GMT+0200,105.646,106.042,105.504,105.57,607046.6045
10.02.2004 00:00:00.000 GMT+0200,105.583,105.885,105.314,105.6,608603.0928
11.02.2004 00:00:00.000 GMT+0200,105.567,105.708,105.158,105.425,604978.4952
12.02.2004 00:00:00.000 GMT+0200,105.427,105.576,105.25,105.365,605775.0976
13.02.2004 00:00:00.000 GMT+0200,105.35,105.606,105.254,105.439,602675.1953
16.02.2004 00:00:00.000 GMT+0200,105.453,105.56,105.34,105.472,585679.9015
17.02.2004 00:00:00.000 GMT+0200,105.475,105.983,105.423,105.652,602450.1914
18.02.2004 00:00:00.000 GMT+0200,105.653,107.118,105.502,106.735,605101.7002
19.02.2004 00:00:00.000 GMT+0200,106.732,107.424,106.29,107.03,611408.0958
20.02.2004 00:00:00.000 GMT+0200,107.016,109.33,106.85,109.026,604446.2969
23.02.2004 00:00:00.000 GMT+0200,108.961,109.37,108.056,108.354,604487.6944
24.02.2004 00:00:00.000 GMT+0200,108.338,108.742,108.017,108.178,610080.7968
25.02.2004 00:00:00.000 GMT+0200,108.157,109.125,108.027,108.986,610360.5957
26.02.2004 00:00:00.000 GMT+0200,108.988,109.81,108.741,109.531,606822.205
27.02.2004 00:00:00.000 GMT+0200,109.516,109.696,108.882,109.138,610741.4981
01.03.2004 00:00:00.000 GMT+0200,109.037,109.415,108.859,108.974,611845.0978
02.03.2004 00:00:00.000 GMT+0200,108.969,110.415,108.894,110.065,603359.5001
03.03.2004 00:00:00.000 GMT+0200,110.078,110.506,109.983,110.062,612040.7989
04.03.2004 00:00:00.000 GMT+0200,110.038,111.155,110.016,111.074,607499.3946
05.03.2004 00:00:00.000 GMT+0200,111.083,112.286,110.952,112.009,604852.9043
08.03.2004 00:00:00.000 GMT+0200,112.081,112.286,111.094,111.165,611005.2022
09.03.2004 00:00:00.000 GMT+0200,111.158,111.596,110.239,111.302,601391.0986
10.03.2004 00:00:00.000 GMT+0200,111.273,111.53,110.694,110.861,604381.3087
11.03.2004 00:00:00.000 GMT+0200,110.897,111.077,110.43,110.75,604795.1982
12.03.2004 00:00:00.000 GMT+0200,110.733,111.38,110.596,110.78,603450.6054
15.03.2004 00:00:00.000 GMT+0200,110.68,111.061,109.197,110.326,605318.2002
16.03.2004 00:00:00.000 GMT+0200,110.297,110.368,108.608,108.73,607878.6934
17.03.2004 00:00:00.000 GMT+0200,108.743,108.968,107.958,108.278,608282.9014
18.03.2004 00:00:00.000 GMT+0200,108.264,108.364,106.387,106.832,606653.497
19.03.2004 00:00:00.000 GMT+0200,106.85,107.298,106.61,106.694,606996.9083
22.03.2004 00:00:00.000 GMT+0200,106.805,107.647,106.712,106.908,604751.5995
23.03.2004 00:00:00.000 GMT+0200,106.88,106.938,106.454,106.752,599867.4034
24.03.2004 00:00:00.000 GMT+0200,106.75,106.947,106.029,106.23,614894.0069
25.03.2004 00:00:00.000 GMT+0200,106.222,106.463,105.757,106.17,615073.5079
26.03.2004 00:00:00.000 GMT+0200,106.16,106.232,105.506,106.012,612953.4004
29.03.2004 01:00:00.000 GMT+0300,105.525,105.934,105.246,105.52,613848.9961
30.03.2004 01:00:00.000 GMT+0300,105.502,106.214,105.381,105.751,589819.0986
31.03.2004 01:00:00.000 GMT+0300,105.737,105.917,103.43,104.22,610612.998
01.04.2004 01:00:00.000 GMT+0300,104.201,104.486,103.47,103.653,611409.8008
02.04.2004 01:00:00.000 GMT+0300,103.66,104.738,103.642,104.466,609259.7998
05.04.2004 00:00:00.000 GMT+0300,104.473,105.439,104.121,104.913,609913.0039
06.04.2004 00:00:00.000 GMT+0300,104.918,107.166,104.874,105.74,610202.501
07.04.2004 00:00:00.000 GMT+0300,105.72,106.147,104.955,105.248,609881.6943
08.04.2004 00:00:00.000 GMT+0300,105.239,106.413,105.19,106.295,607826.2987
09.04.2004 00:00:00.000 GMT+0300,106.3,106.777,105.955,106.39,504256.8017
12.04.2004 00:00:00.000 GMT+0300,106.354,106.448,105.253,105.384,600596.2998
13.04.2004 00:00:00.000 GMT+0300,105.428,107.019,105.045,106.564,608100.9033
14.04.2004 00:00:00.000 GMT+0300,106.577,108.988,106.547,108.639,617520.0928
15.04.2004 00:00:00.000 GMT+0300,108.64,109.222,108.23,108.291,614231.9912
16.04.2004 00:00:00.000 GMT+0300,108.267,108.874,107.486,107.797,622269.3975
19.04.2004 00:00:00.000 GMT+0300,107.698,108.691,107.603,108.435,605322.499
20.04.2004 00:00:00.000 GMT+0300,108.423,108.872,107.679,108.772,612266.8994
21.04.2004 00:00:00.000 GMT+0300,108.775,109.754,108.557,109.391,613413.4072
22.04.2004 00:00:00.000 GMT+0300,109.388,109.899,109.128,109.401,611743.3058
23.04.2004 00:00:00.000 GMT+0300,109.397,109.829,108.599,108.972,604764.007
26.04.2004 00:00:00.000 GMT+0300,108.978,109.336,108.29,108.621,606277.7023
27.04.2004 00:00:00.000 GMT+0300,108.602,109.821,108.37,109.432,611249.8047
28.04.2004 00:00:00.000 GMT+0300,109.423,110.241,108.77,110.136,607542.6964
29.04.2004 00:00:00.000 GMT+0300,110.119,111.026,109.542,109.899,608588.3009
30.04.2004 00:00:00.000 GMT+0300,109.91,110.642,109.771,110.515,616622.4853
01.05.2004 00:00:00.000 GMT+0300,110.515,110.532,110.515,110.532,0
03.05.2004 00:00:00.000 GMT+0300,110.447,110.71,109.803,110.365,603573.3994
04.05.2004 00:00:00.000 GMT+0300,110.372,110.611,109.246,109.355,615892.7998
05.05.2004 00:00:00.000 GMT+0300,109.402,109.587,108.322,108.702,613043.0976
06.05.2004 00:00:00.000 GMT+0300,108.67,109.889,108.588,109.782,612459.2999
07.05.2004 00:00:00.000 GMT+0300,109.735,112.498,109.714,112.241,607905.6034
10.05.2004 00:00:00.000 GMT+0300,112.308,114.141,112.129,113.667,619179.5949
11.05.2004 00:00:00.000 GMT+0300,113.694,113.972,113.119,113.182,611191.6942
12.05.2004 00:00:00.000 GMT+0300,113.163,113.485,112.424,113.005,611106.1943
13.05.2004 00:00:00.000 GMT+0300,112.997,114.645,112.823,114.519,616884.7891
14.05.2004 00:00:00.000 GMT+0300,114.546,114.893,113.983,114.261,615153.8994
17.05.2004 00:00:00.000 GMT+0300,114.215,114.651,113.065,114.36,617917.4044
18.05.2004 00:00:00.000 GMT+0300,114.36,114.706,113.389,114.324,610932.2071
