Gmt time,Open,High,Low,Close,Volume
26.10.2020 00:00:00.000,105.067,105.208,104.557,104.617,71340.6484
27.10.2020 00:00:00.000,104.668,104.897,104.498,104.688,33610.3516
28.10.2020 00:00:00.000,103.948,104.098,103.597,103.808,50180.4844
29.10.2020 00:00:00.000,103.657,104.148,103.547,104.047,43095.3164
30.10.2020 00:00:00.000,103.968,104.348,103.747,104.297,105728.2813
02.11.2020 00:00:00.000,104.078,104.258,103.847,104.117,65432.6719
03.11.2020 00:00:00.000,104.417,105.098,104.318,105.077,42702.707
04.11.2020 00:00:00.000,105.388,106.308,105.388,106.008,100663.0313
05.11.2020 00:00:00.000,106.527,106.788,106.247,106.448,57542.8086
06.11.2020 00:00:00.000,106.257,106.478,105.947,106.117,48272.8047
09.11.2020 00:00:00.000,107.927,108.068,106.838,106.858,108135.7344
10.11.2020 00:00:00.000,106.717,107.088,106.638,106.827,74753.0313
11.11.2020 00:00:00.000,106.918,106.938,106.587,106.697,21647.6387
12.11.2020 00:00:00.000,106.508,106.608,106.028,106.028,45575.3672
13.11.2020 00:00:00.000,106.058,106.508,106.058,106.428,19900.1387
16.11.2020 00:00:00.000,106.758,107.038,106.737,107.018,20165.1738
17.11.2020 00:00:00.000,106.757,107.248,106.757,107.108,15187.5947
18.11.2020 00:00:00.000,107.117,107.298,106.857,106.857,13182.5693
19.11.2020 00:00:00.000,106.778,107.328,106.718,107.268,17052.6152
20.11.2020 00:00:00.000,107.098,107.208,107.027,107.078,12170.0938
23.11.2020 00:00:00.000,107.257,107.438,107.117,107.268,21057.6406
24.11.2020 00:00:00.000,107.635,107.838,107.427,107.528,11310.0811
25.11.2020 00:00:00.000,107.417,107.677,107.417,107.508,14935.1357
27.11.2020 00:00:00.000,107.618,107.768,107.597,107.647,4452.5322
30.11.2020 00:00:00.000,107.628,107.648,107.317,107.527,22747.6719
01.12.2020 00:00:00.000,107.437,107.628,107.348,107.497,17792.627
02.12.2020 00:00:00.000,107.417,107.858,107.367,107.748,16530.0801
03.12.2020 00:00:00.000,107.697,108.037,107.697,107.827,11507.5684
04.12.2020 00:00:00.000,107.827,108.317,107.827,108.268,9752.5645
07.12.2020 00:00:00.000,108.147,108.218,108.067,108.208,12127.582
08.12.2020 00:00:00.000,108.107,108.278,107.967,108.188,7152.5503
09.12.2020 00:00:00.000,108.207,108.238,107.827,107.978,22492.6289
10.12.2020 00:00:00.000,107.767,108.298,107.767,108.157,31985.1934
11.12.2020 00:00:00.000,108.097,108.248,107.857,108.057,23980.1484
14.12.2020 00:00:00.000,108.198,108.268,107.937,108.028,16345.1504
15.12.2020 00:00:00.000,108.117,108.437,108.047,108.407,19147.6582
16.12.2020 00:00:00.000,108.298,108.398,107.967,108.248,22162.6914
17.12.2020 00:00:00.000,108.277,108.498,108.127,108.438,12607.6143
18.12.2020 00:00:00.000,108.068,108.138,107.927,108.097,17945.1152
21.12.2020 00:00:00.000,107.648,107.878,107.477,107.698,34745.2188
22.12.2020 00:00:00.000,107.687,107.877,107.687,107.837,15722.5938
23.12.2020 00:00:00.000,107.968,108.358,107.887,108.268,10530.085
24.12.2020 00:00:00.000,108.297,108.568,108.297,108.557,5087.5366
28.12.2020 00:00:00.000,108.718,108.788,108.527,108.648,8270.0439
29.12.2020 00:00:00.000,108.718,108.888,108.547,108.607,18232.5996
30.12.2020 00:00:00.000,108.647,108.887,108.647,108.807,5937.5449
31.12.2020 00:00:00.000,108.828,108.978,108.747,108.907,12715.082
04.01.2021 00:00:00.000,109.008,109.008,108.357,108.638,52487.7617
05.01.2021 00:00:00.000,108.488,108.838,108.487,108.668,24772.6465
06.01.2021 00:00:00.000,108.598,108.988,108.487,108.548,70407.7969
07.01.2021 00:00:00.000,108.767,109.007,108.528,108.857,6502.9097
08.01.2021 00:00:00.000,108.988,108.998,108.687,108.987,266.5858
11.01.2021 00:00:00.000,108.517,108.748,108.397,108.427,214.6662
12.01.2021 00:00:00.000,108.398,108.628,108.267,108.577,181.2643
13.01.2021 00:00:00.000,108.517,108.928,108.517,108.878,132.9503
14.01.2021 00:00:00.000,108.928,108.998,108.807,108.828,113.2623
15.01.2021 00:00:00.000,108.667,108.878,108.477,108.677,294.3408
19.01.2021 00:00:00.000,108.898,109.028,108.727,108.968,161.161
20.01.2021 00:00:00.000,108.998,109.338,108.928,109.228,117.2747
21.01.2021 00:00:00.000,109.217,109.268,108.997,109.168,98.519
22.01.2021 00:00:00.000,108.887,109.078,108.807,108.947,153.2572
25.01.2021 00:00:00.000,108.898,108.987,108.588,108.938,379.4077
26.01.2021 00:00:00.000,108.878,109.028,108.847,108.868,152.1172
27.01.2021 00:00:00.000,108.597,108.848,108.317,108.548,661.6987
28.01.2021 00:00:00.000,108.748,109.208,108.707,108.817,351.139
29.01.2021 00:00:00.000,108.737,109.038,108.347,108.418,687.72
01.02.2021 00:00:00.000,108.198,108.508,108.028,108.448,280.2768
02.02.2021 00:00:00.000,108.628,108.878,108.627,108.787,100.7357
03.02.2021 00:00:00.000,108.837,109.058,108.827,108.868,188.8463
04.02.2021 00:00:00.000,109.017,109.198,108.837,109.067,118.332
05.02.2021 00:00:00.000,109.277,109.398,109.217,109.258,101.9417
08.02.2021 00:00:00.000,109.328,109.568,109.327,109.558,88.8102
09.02.2021 00:00:00.000,109.388,109.508,109.317,109.337,74.4745
10.02.2021 00:00:00.000,109.368,109.498,109.217,109.377,227.3737
11.02.2021 00:00:00.000,109.407,109.478,109.327,109.448,111.8865
12.02.2021 00:00:00.000,109.317,109.638,109.317,109.638,80.9837
16.02.2021 00:00:00.000,109.538,109.568,109.347,109.378,144.6515
17.02.2021 00:00:00.000,109.167,109.378,109.087,109.378,148.287
18.02.2021 00:00:00.000,109.218,109.378,109.128,109.267,176.6407
19.02.2021 00:00:00.000,109.377,109.438,109.237,109.268,106.3388
22.02.2021 00:00:00.000,109.058,109.218,108.927,108.948,151.9325
23.02.2021 00:00:00.000,108.857,109.318,108.657,109.287,269.8232
24.02.2021 00:00:00.000,109.058,109.318,108.987,109.297,206.9025
25.02.2021 00:00:00.000,109.077,109.188,108.217,108.367,424.0008
26.02.2021 00:00:00.000,108.428,108.688,108.067,108.167,527.975
01.03.2021 00:00:00.000,108.178,108.888,108.127,108.828,232.825
