"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","GUARANTEED STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","COMMISSION","GSL FEE","GSL PREMIUM","CONVERSION RATE","PL","AMOUNT","BALANCE"
"54","2024-02-09 08:27:55 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"55","2024-02-09 08:51:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Buy","","1.07667","","1.07822","","","","","","","","",""
"56","2024-02-09 08:51:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07753","3000.00","Buy","0.1200","","","","","0.00000","0.0000","0.0000","","","0.00000","","252.85"
"57","2024-02-09 08:51:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07822","","","","","","","","","","","","","","",""
"58","2024-02-09 08:51:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07667","","","","","","","","","","","","","","",""
"59","2024-02-09 08:51:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"60","2024-02-09 09:40:10 GMT","ORDER_FILL","STOP_LOSS_ORDER","EUR/USD","1.07666","3000.00","Sell","0.1350","","","","","0.00000","0.0000","0.0000","","1.0000","-2.61000","","250.24"
"61","2024-02-09 09:40:10 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"62","2024-02-09 09:51:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Buy","","1.07612","","1.07760","","","","","","","","",""
"63","2024-02-09 09:51:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07681","3000.00","Buy","0.1500","","","","","0.00000","0.0000","0.0000","","","0.00000","","250.24"
"64","2024-02-09 09:51:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07760","","","","","","","","","","","","","","",""
"65","2024-02-09 09:51:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07612","","","","","","","","","","","","","","",""
"66","2024-02-09 09:51:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"67","2024-02-09 12:10:55 GMT","ORDER_FILL","TAKE_PROFIT_ORDER","EUR/USD","1.07760","3000.00","Sell","0.1350","","","","","0.00000","0.0000","0.0000","","1.0000","2.37000","","252.61"
"68","2024-02-09 12:10:55 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"69","2024-02-09 12:26:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Sell","","1.07790","","1.07670","","","","","","","","",""
"70","2024-02-09 12:26:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07722","3000.00","Sell","0.1350","","","","","0.00000","0.0000","0.0000","","","0.00000","","252.61"
"71","2024-02-09 12:26:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07670","","","","","","","","","","","","","","",""
"72","2024-02-09 12:26:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07790","","","","","","","","","","","","","","",""
"73","2024-02-09 12:26:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"74","2024-02-09 12:31:38 GMT","ORDER_FILL","TAKE_PROFIT_ORDER","EUR/USD","1.07669","3000.00","Buy","0.1200","","","","","0.00000","0.0000","0.0000","","1.0000","1.59000","","254.20"
"75","2024-02-09 12:31:38 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"76","2024-02-09 13:36:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Sell","","1.07906","","1.07673","","","","","","","","",""
"77","2024-02-09 13:36:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07820","3000.00","Sell","0.1500","","","","","0.00000","0.0000","0.0000","","","0.00000","","254.20"
"78","2024-02-09 13:36:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07673","","","","","","","","","","","","","","",""
"79","2024-02-09 13:36:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07906","","","","","","","","","","","","","","",""
"80","2024-02-09 13:36:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"81","2024-02-09 13:39:44 GMT","ORDER_FILL","STOP_LOSS_ORDER","EUR/USD","1.07911","3000.00","Buy","0.1500","","","","","0.00000","0.0000","0.0000","","1.0000","-2.73000","","251.47"
"82","2024-02-09 13:39:44 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"83","2024-02-09 16:56:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Buy","","1.07749","","1.07876","","","","","","","","",""
"84","2024-02-09 16:56:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07812","3000.00","Buy","0.1350","","","","","0.00000","0.0000","0.0000","","","0.00000","","251.47"
"85","2024-02-09 16:56:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07876","","","","","","","","","","","","","","",""
"86","2024-02-09 16:56:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07749","","","","","","","","","","","","","","",""
"87","2024-02-09 16:56:02 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"88","2024-02-09 18:20:00 GMT","ORDER_FILL","TAKE_PROFIT_ORDER","EUR/USD","1.07877","3000.00","Sell","0.1200","","","","","0.00000","0.0000","0.0000","","1.0000","1.95000","","253.42"
"89","2024-02-09 18:20:00 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"90","2024-02-12 05:26:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Sell","","1.07975","","1.07899","","","","","","","","",""
"91","2024-02-12 05:26:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07935","3000.00","Sell","0.1200","","","","","0.00000","0.0000","0.0000","","","0.00000","","253.42"
"92","2024-02-12 05:26:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07899","","","","","","","","","","","","","","",""
"93","2024-02-12 05:26:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07975","","","","","","","","","","","","","","",""
"94","2024-02-12 05:26:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"95","2024-02-12 07:18:07 GMT","ORDER_FILL","TAKE_PROFIT_ORDER","EUR/USD","1.07899","3000.00","Buy","0.1350","","","","","0.00000","0.0000","0.0000","","1.0000","1.08000","","254.50"
"96","2024-02-12 07:18:07 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"97","2024-02-12 07:26:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Sell","","1.08029","","1.07911","","","","","","","","",""
"98","2024-02-12 07:26:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07970","3000.00","Sell","0.1350","","","","","0.00000","0.0000","0.0000","","","0.00000","","254.50"
"99","2024-02-12 07:26:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07911","","","","","","","","","","","","","","",""
"100","2024-02-12 07:26:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.08029","","","","","","","","","","","","","","",""
"101","2024-02-12 07:26:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"102","2024-02-12 07:55:48 GMT","ORDER_FILL","STOP_LOSS_ORDER","EUR/USD","1.08029","3000.00","Buy","0.1350","","","","","0.00000","0.0000","0.0000","","1.0000","-1.77000","","252.73"
"103","2024-02-12 07:55:48 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
